level,string,length,n_leave_node,n_ending,n
2,"的心腹",3,5,6,7
2,"的心肠",3,7,7,7
2,"的心了",3,5,5,5
2,"的心都",3,5,5,5
1,"的说",2,58,72,155
2,"的说道",3,45,45,45
2,"的说些什么",5,2,2,2
2,"的说一个",4,2,2,2
1,"的小",2,38,53,143
2,"的小厮",3,18,22,39
2,"的小子",3,4,5,9
3,"的小子们",4,5,5,5
2,"的小蹄子",4,7,7,7
2,"的小名儿",4,2,2,2
1,"的那",2,35,57,139
2,"的那些",3,9,12,18
3,"的那些人",4,5,5,5
3,"的那些姑娘们",6,2,2,2
2,"的那一",3,8,9,11
3,"的那一个",4,3,3,3
2,"的那里",3,5,5,5
2,"的那小丫头",5,2,2,2
2,"的那位",3,4,4,4
2,"的那事",3,4,4,4
1,"的丫头",3,67,80,108
2,"的丫头来说",5,3,3,3
2,"的丫头来请",5,2,2,2
2,"的丫头在那里",6,2,2,2
1,"的丫鬟",3,17,19,22
2,"的丫鬟名唤",5,2,2,2
1,"的时候",3,55,69,96
2,"的时候儿",4,6,7,8
3,"的时候儿呢",5,2,2,2
1,"的时节",3,16,17,18
1,"的这",2,26,35,113
2,"的这样",3,20,21,22
2,"的这么",3,13,16,22
3,"的这么着",4,3,3,3
3,"的这么个",4,3,3,3
2,"的这个",3,10,11,13
3,"的这个形象",5,2,2,2
2,"的这几个",4,3,4,5
3,"的这几个人",5,2,2,2
2,"的这一分",4,2,2,2
1,"的也",2,30,45,95
2,"的也是",3,9,9,9
2,"的也有",3,7,7,7
2,"的也没",3,4,5,6
3,"的也没有",4,2,2,2
2,"的也未可知",5,4,4,4
2,"的也罢了",4,2,2,2
2,"的也太不",4,2,2,2
1,"的来",2,63,69,91
2,"的来了",3,17,17,17
2,"的来头",3,3,3,3
1,"的手",2,63,71,87
2,"的手帕子",4,5,5,5
1,"的女孩子们",5,3,3,3
1,"的女孩儿",4,12,12,12
1,"的女人",3,17,19,21
1,"的大",2,29,43,77
2,"的大了",3,3,3,3
2,"的大红",3,3,3,3
2,"的大小",3,3,3,3
2,"的大夫",3,3,3,3
2,"的大人",3,3,3,3
1,"的笑",2,13,20,72
2,"的笑道",3,38,38,38
2,"的笑话儿",4,3,3,3
1,"的去",2,30,36,70
2,"的去了",3,17,17,17
1,"的很",2,46,51,62
1,"的都",2,30,36,60
2,"的都告诉了",5,2,2,2
2,"的都在这里",5,2,2,2
1,"的名字",3,26,28,30
1,"的名儿也",4,1,2,3
2,"的名儿也未可知",7,2,2,2
1,"的名帖",3,5,5,5
1,"的主意",3,38,42,46
1,"的病",2,27,39,58
2,"的病症",3,4,4,4
2,"的病才好",4,2,2,2
1,"的就",2,26,31,58
2,"的就是",3,11,14,19
3,"的就是了",4,4,4,4
2,"的就完了",4,4,4,4
2,"的就不疼",4,2,2,2
2,"的就好",3,3,3,3
1,"的老",2,14,25,56
2,"的老爷",3,5,6,7
3,"的老爷们",4,2,2,2
2,"的老嬷嬷们",5,2,2,2
1,"的又",2,25,34,56
2,"的又不",3,11,11,11
2,"的又有",3,3,3,3
1,"的呢",2,54,54,54
1,"的意思",3,46,47,48
1,"的我",2,27,34,50
1,"的回",2,14,21,50
2,"的回来",3,13,13,13
2,"的回道",3,8,8,8
1,"的日子",3,30,35,42
1,"的亲",2,18,20,48
2,"的亲戚",3,21,22,23
1,"的走到",3,6,7,8
2,"的走到宝",4,2,2,2
1,"的走了",3,6,6,6
1,"的衣服",3,19,21,23
1,"的衣裳",3,11,12,13
1,"的家",2,15,21,43
2,"的家人",3,15,15,15
2,"的家计如",4,2,2,2
1,"的钱",2,28,34,41
2,"的钱都没有",5,2,2,2
1,"的安",2,36,38,41
1,"的宝玉",3,24,25,26
1,"的姑娘",3,21,24,32
2,"的姑娘出了家",6,2,2,2
1,"的出",2,12,15,40
2,"的出来",3,17,18,19
2,"的出去",3,3,4,7
3,"的出去了",4,4,4,4
1,"的还",2,22,30,39
2,"的还有",3,3,3,3
1,"的头",2,17,27,39
2,"的头面",3,3,3,3
2,"的头里",3,3,3,3
1,"的两个",3,10,13,19
2,"的两个婆子",5,5,5,5
1,"的便",2,23,28,38
2,"的便知道了",5,2,2,2
2,"的便是",3,4,4,4
1,"的倒",2,15,21,37
2,"的倒也",3,7,7,7
2,"的倒好",3,5,5,5
